course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AHIS S2314,MASTERS OF THE BAROQUE,"This course examines three masters of European Baroque art—Gianlorenzo Bernini (1598-1680), Diego Velázquez (1599-1660), and Rembrandt van Rijn (1606-1669)—artists who are all well represented in the permanent collection of the Metropolitan Museum of Art. Through classroom discussions and museum visits, we will examine Baroque art as part of a continuing and developing accumulation of forms and ideas throughout the 17th century, and consider the impact these artists had on their contemporaries and in ensuing centuries. Roughly half of the class sessions take place at the Metropolitan Museum, a luxury that allows for close, firsthand analysis of art, but it is not an art appreciation course. It is a history course concerned with a study of ideas, artists, and visual facts and their application to emerging art forms within their cultural-historical context. In addition to developing a critical eye, the class is intended to develop analytical thinking and communication skills as well as knowledge of the subject matter.
",Lindsey P Schneider,1:00pm,4:10pm,10224,Morningside,S2314-20222-001,,Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S2314-20222-001/,To be announced,In-Person,,3,,TR,20222AHIS2314S001,LECTURE
AHIS S3010,EVAL THE EVID OF AUTHENTICITY,"The adjudged authenticity of a work of art is fundamental in determining its value as a commodity on the art market or, for example, in property claim disputes or in issues of cultural property restitution. Using case studies some straightforward and others extremely vexing--this course examines the many ways in which authenticity is measured through the use of provenance and art historical research, connoisseurship, and forensic resources. From within the broader topics, finer issues will also be explored, among them, the hierarchy of attribution, condition and conservation, copies and reproductions, the period eye and the style of the marketplace.
",Lynn Catterson,,,10221,Morningside,S3010-20222-001,EVAL THE EVID OF AUTHENTI,Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S3010-20222-001/,,In-Person,,4,,,20222AHIS3010S001,LECTURE
AHIS S3010,EVAL THE EVID OF AUTHENTICITY,"The adjudged authenticity of a work of art is fundamental in determining its value as a commodity on the art market or, for example, in property claim disputes or in issues of cultural property restitution. Using case studies some straightforward and others extremely vexing--this course examines the many ways in which authenticity is measured through the use of provenance and art historical research, connoisseurship, and forensic resources. From within the broader topics, finer issues will also be explored, among them, the hierarchy of attribution, condition and conservation, copies and reproductions, the period eye and the style of the marketplace.
",Lynn Catterson,,,10222,Morningside,S3010-20222-002,EVAL THE EVID OF AUTHENTI,Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S3010-20222-002/,,In-Person,,4,,,20222AHIS3010S002,LECTURE
AHIS S3426,JACKSON POLLOCK & THE NY SCHOOL,"Coming on the heels of the MoMA's blockbuster exhibit, this seminar will trace the rise and fall of Abstract Expressionism, from its pre-World War II precipitates in Europe (Surrealism) and in America (Regionalism), to the crucial moment when, as scholar Serge Guilbaut has argued, New York 'stole' the idea of modern art, and finally, through the decade when Pop Art rendered Abstract Expressionism obsolete. Although special emphasis will be given to Jackson Pollock, whose persona and work reside at the literal and figurative center of the movement, we will also look closely at works by Mark Rothko, Clyfford Still, Willem DeKooning, Lee Krasner, Louise Bourgeois, Helen Frankenthaler, Eva Hesse, Robert Rauschenberg, Jasper Johns and Cy Twombly. Class lectures and presentations will be supplemented with trips to New York's world-renowned museums.
",Kent M Minturn,1:00pm,4:10pm,10225,Morningside,S3426-20222-001,JACKSON POLLOCK & THE NY,Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S3426-20222-001/,To be announced,In-Person,,3,,TR,20222AHIS3426S001,LECTURE
AHIS S3441,NYC AND THE HISTORY OF MUSEUM,"This course will introduce students to the history of museums and display practices through New York collections. The birth of the museum as a constitutive element of modernity coincides with the establishment of European nation states. Throughout the course of the nineteenth century, museums were founded in major European and American cities to classify objects, natural and manmade, from plants and fossils to sculpture and clothing. This course presents the alternate art history that can be charted through an examination of the foundation and development of museums from cabinets of curiosity to the collection-less new museums currently being built in the Middle East and beyond. We will consider broad thematic issues such as nationalism, colonialism, canon formation, the overlapping methods of anthropology and art history, and the notion of 'framing' from the architectural superstructure to exhibition design. We will visit a wide variety of museums from the American Museum of Natural History to the Metropolitan Museum of Art to the National September 11 Memorial and Museum as in-depth case studies of more general concepts. Students will have the opportunity to meet museum educators, conservators and curators through on site teaching in a variety of institutions.
",Risham Majeed,,,10223,Morningside,S3441-20222-001,NYC AND THE HISTORY OF MU,Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S3441-20222-001/,,In-Person,,4,,,20222AHIS3441S001,LANGUAGE
AHIS S3442,American Art in a Global Context: 1750,"Through an examination of painting, sculpture, decorative arts, photography. fashion and visual culture of the United States from 1750 to 1914, the course will explore how American artists responded to and operated within the wider world, while grappling with issues of identity at home. Addressing themes shared in common across national boundaries, the class will consider how American art participated in the revolutions and reforms of the ""long"" nineteenth century, and how events of the period continue to impact our country today. The period witnessed the emergence of new technologies for creating, using and circulating images and objects, the expansion and transformation of exhibition and viewing practices, and the rise of new artistic institutions, as well as the metamorphosis of the United States from its colonial origins to that of a world power, including the radical changes that occurred during the Civil War.  With many sessions taking place at the Metropolitan Museum of Art, the class will investigate how American art engaged with international movements while constructing national identity during a period of radical transformation both at home and abroad.
",Page S Knox,9:00am,12:10pm,10368,Morningside,S3442-20222-001,"American Art, 1750   1914",Summer Session (SUMM),AHIS,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/S3442-20222-001/,To be announced,In-Person,,4,,TR,20222AHIS3442S001,SEMINAR
AHMM S3321,MUSICS OF INDIA & WEST ASIA,"This course is a topical (not comprehensive) survey of some of the musical traditions of South and West Asia, and of their diasporas. Each tradition will be described locally, connecting it to critical themes that the course aims to explore. The purpose of the course is to introduce you to a range of indigenous and diasporic “Asian” musical styles, ideas, traditions, and artists through an interdisciplinary approach to the study of music as culture. No previous background in music is required.
",Alessandra M Ciucci,,,10018,Morningside,S3321-20222-001,MUSICS OF INDIA & WEST AS,Summer Session (SUMM),AHMM,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHMM/S3321-20222-001/,,In-Person,,3,,,20222AHMM3321S001,LECTURE
AHMM S3321,MUSICS OF INDIA & WEST ASIA,"This course is a topical (not comprehensive) survey of some of the musical traditions of South and West Asia, and of their diasporas. Each tradition will be described locally, connecting it to critical themes that the course aims to explore. The purpose of the course is to introduce you to a range of indigenous and diasporic “Asian” musical styles, ideas, traditions, and artists through an interdisciplinary approach to the study of music as culture. No previous background in music is required.
",Alessandra M Ciucci,,,10019,Morningside,S3321-20222-002,MUSICS OF INDIA & WEST AS,Summer Session (SUMM),AHMM,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHMM/S3321-20222-002/,,In-Person,,3,,,20222AHMM3321S002,LECTURE
AHMM UN3320,MUSIC IN EAST ASIA,"A topical approach to the concepts and practices of music in relation to other arts in the development of Asian civilizations.
",Kevin Fellezs,,,10373,Morningside,V3320-20222-001,,Summer Session (SUMM),AHMM,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHMM/V3320-20222-001/,,In-Person,,3,,,20222AHMM3320V001,LECTURE
AHUM S2604,ARTS OF CHINA JAPAN KOREA,"Introduces distinctive aesthetic traditions of China, Japan, and Korea--their similarities and differences--through an examination of the visual significance of selected works of painting, sculpture, architecture, and other arts in relation to the history, culture, and religions of East Asia.
",Yeongik Seo,,,10307,Morningside,S2604-20222-001,,Summer Session (SUMM),AHUM,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHUM/S2604-20222-001/,,In-Person,,3,,,20222AHUM2604S001,LECTURE
