course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACLS BC3997,INTERDISCIPLINARY SENIOR SEM,"Prerequisites: ACLS BC3450. Enrollment limited to Barnard seniors participating in the Athena Scholars Program. Limited to seniors participating in the Athena Scholars Program. Students will develop a social action project where they must demonstrate leadership skills in an off-campus setting. Students will be expected to develop and implement a detailed plan to start their project. Then they will collaborate with other class members to advance their projects, report to their peers on their accomplishments and have an opportunity to work closely with organizations across the city on their efforts.
",,10:10am,12:00pm,00004,Barnard College,X3997-20213-001,INTERDISCIPLINARY SENIOR,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3997-20213-001/,To be announced,,Barnard College,4,ACLS BC3450,W,20213ACLS3997X001,SEMINAR
ACLS BC3997,INTERDISCIPLINARY SENIOR SEM,"Prerequisites: ACLS BC3450. Enrollment limited to Barnard seniors participating in the Athena Scholars Program. Limited to seniors participating in the Athena Scholars Program. Students will develop a social action project where they must demonstrate leadership skills in an off-campus setting. Students will be expected to develop and implement a detailed plan to start their project. Then they will collaborate with other class members to advance their projects, report to their peers on their accomplishments and have an opportunity to work closely with organizations across the city on their efforts.
",,12:10pm,2:00pm,00005,Barnard College,X3997-20213-002,INTERDISCIPLINARY SENIOR,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3997-20213-002/,To be announced,,Barnard College,4,ACLS BC3450,W,20213ACLS3997X002,SEMINAR
AFEN BC3253,BEFORE 'BLACK LIVES MATTER':READING INSU,"Black Lives Matter is an American phenomenon. This course situates BLM in relation to other and earlier movements in the Global South and elsewhere. Through textual analysis and critical reading, we take up the discursive, rhetorical, and poetical strategies of opposition to marginalization, criminalization, and racial othering.
",Yvette Christianse,12:00pm,2:00pm,00001,Barnard College,X3253-20213-001,BEFORE 'BLACK LIVES MATTE,Africana Studies (AFSB),AFEN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFEN/X3253-20213-001/,To be announced,,,4,,R,20213AFEN3253X001,SEMINAR
AFRS BC2005,CARIBBEAN CULTURE & SOCIETIES,,Maja Horn,,,00057,Barnard College,X2005-20213-001,CARIBBEAN CULTURE & SOCIE,Africana Studies (AFSB),AFRS,http://culpa.info/professors/3092,gold,7.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AFRS/X2005-20213-001/,,,,3,,,20213AFRS2005X001,LECTURE
AHIS BC1001,INTRODUCTION TO ART HISTORY I,"Attempting to offer an introduction to artistic creation on a global scale, this course is team-taught by specialists in a number of different cultural and historical traditions. In the fall semester we will discuss the art of Europe, the Middle East, India, Japan, and China, in periods ranging from the Paleolithic to the Renaissance. Museum trips are an integral part of the course. Note: weekly discussion groups to be arranged. Discussion Section Required.
",,2:40pm,3:55pm,00209,Barnard College,X1001-20213-001,INTRODUCTION TO ART HISTO,Art History @Barnard,AHIS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X1001-20213-001/,To be announced,,,4,,MW,20213AHIS1001X001,LECTURE
AHIS BC2005,PAINTING I,"This course will focus on individual and collaborative projects designed to explore the fundamental principles of image making. Students acquire a working knowledge of concepts in contemporary art through class critiques, discussion, and individual meetings with the professor. Reading materials will provide historical and philosophical background to the class assignments. Class projects will range from traditional to experimental and multi-media. Image collections will be discussed in class with an awareness of contemporary image production.
",Joan Snitzer,2:10pm,6:00pm,00207,Barnard College,X2005-20213-001,,Art History @Barnard,AHIS,http://culpa.info/professors/2858,,4.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X2005-20213-001/,To be announced,,,3,,W,20213AHIS2005X001,STUDIO
AHIS BC2007,PAINTING III,"This course will focus on individual and collaborative projects designed to explore the fundamental principles of image making. Students acquire a working knowledge of concepts in contemporary art through class critiques, discussion, and individual meetings with the professor. Reading materials will provide historical and philosophical background to the class assignments. Class projects will range from traditional to experimental and multi-media. Image collections will be discussed in class with an awareness of contemporary image production.
",Joan Snitzer,2:10pm,6:00pm,00208,Barnard College,X2007-20213-001,,Art History @Barnard,AHIS,http://culpa.info/professors/2858,,4.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X2007-20213-001/,To be announced,,,3,,W,20213AHIS2007X001,STUDIO
AHIS BC3003,SUPERVISED PROJ PHOTOGRAPHY,"Prerequisites: Enrollment limited to 15 students. Designed for students to conduct independent projects in photography. Priority for enrollment to the class will be Barnard College students who are enrolling in classes at ICP (International Center of Photography). The cost of ICP will be covered by Barnard College. All of the other students enrolling in the course (CC, GS SOA) will be responsible for their own ICP course expenses.
",John Miller,11:00am,12:50pm,00212,Barnard College,X3003-20213-001,SUPERVISED PHOTO PROJECTS,Art History @Barnard,AHIS,http://culpa.info/professors/2425,,2.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X3003-20213-001/,To be announced,,,3,,M,20213AHIS3003X001,STUDIO
AHIS BC3530,ADVANCED SENIOR STUDIO I,"Prerequisites: Enrollment limited to 15 students. Permission of the instructor. An interpretive study of the theoretical and critical issues in visual art. Projects that are modeled after major movements in contemporary art will be executed in the studio. Each student develops an original body of artwork and participates in group discussions of the assigned readings. For further info visit: 
https://arthistory.barnard.edu/senior-thesis-project-art-history-and-visual-arts-majors

",Joan Snitzer,2:10pm,6:00pm,00213,Barnard College,X3530-20213-001,,Art History @Barnard,AHIS,http://culpa.info/professors/2858,,4.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X3530-20213-001/,To be announced,,,4,,M,20213AHIS3530X001,STUDIO
AHIS BC3667,CLOTHING,"Human beings create second, social, skins for themselves. Across history and around the world, everyone designs interfaces between their bodies and the world around them. From pre-historic ornaments to global industry, clothing has been a crucial feature of people’s survival, desires, and identity. This course studies theories of clothing from the perspectives of art history, anthropology, psychology, economics, sociology, design, and sustainability. Issues to be studied include gender roles, craft traditions, global textile trade, royal sumptuary law, the history of European fashion, dissident or disruptive styles, blockbuster museum costume exhibitions, and the environmental consequences of what we wear today. Required 1 hour a week TA led section to be arranged.  
",Anne Higonnet,2:40pm,3:55pm,00214,Barnard College,X3667-20213-001,,Art History @Barnard,AHIS,http://culpa.info/professors/1530,,29.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHIS/X3667-20213-001/,To be announced,,,4,,TR,20213AHIS3667X001,LECTURE
