course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B5001,Financial Accounting,,Amir Ziv,,,11931,,B5001-20242-300,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B5001-20242-300/,,In-Person,,3,,,20242ACCT5001B300,LECTURE
ACCT B5001,Financial Accounting,,Amir Ziv,,,11932,,B5001-20242-001,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B5001-20242-001/,,In-Person,,3,,,20242ACCT5001B001,LECTURE
ACCT B5001,Financial Accounting,,Amir Ziv,,,11933,,B5001-20242-002,,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B5001-20242-002/,,In-Person,,3,,,20242ACCT5001B002,LECTURE
ACCT B7007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
 Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
 The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
 To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
 
 We will examine the following key topics:
 ? Designing managerial information systems to support an organization’s strategy.
 ? Determining which financial and non-financial metrics are necessary for success in various competitive environments.
 ? Evaluating profitability of products, services, assets, and customers.
 ? The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
 ? The limitations of traditional cost-estimation systems.
 ? Activity-based costing and activity-based management.
 ? Estimating and managing the costs of capacity resources.
 ? Relevant costs and relevant revenues in business decisions.
 ? The information necessary to evaluate long-term business decisions.
 ? The incentives created by various performance-evaluation techniques.",Igor Vaysman,,,11913,,B7007-20242-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B7007-20242-001/,,In-Person,,1.5,,,20242ACCT7007B001,LECTURE
ACCT B7009,Financial Statement Analysis a,"The purpose of this course is to learn about fundamental drivers of value and risk by analyzing financial statements of businesses in different industries. Every public company provides a lot of financial and operational information in its filings. How can this information be used to evaluate its prospects and its risks?
The course is organized around two themes (1) how to identify relevant information in the financial information reported by firms, and (2) how to draw inferences using sound analytical methodology. To this end, we will review techniques for valuation and risk analysis used by banks and asset management firms. The valuation models you will study in this course are all fundamental models – models that use
financial information and review the fundamental operating characteristics of the company. We will learn to build simple financial models, perform risk analysis and fine tune value drivers. Much of the data comes from the financial statements – but it requires a careful study of arcane footnotes to unearth the information provided by the companies. This is an advanced course that goes into the details of footnote analysis, accounting rules, and financial presentations. This course builds on what you learned in Financial Accounting and Corporate Finance. These courses are pre-requisites for taking this course. It is assumed that you have already taken these courses. If you have not taken these courses you should first talk with me before you register. This course will build significantly on your knowledge from those courses. If your basics are solid and you are interested in learning to read financial statements; if you wish to learn to apply financial analysis; this course is for you. We will use excel to build some of the models – but this is not a course in excel. But, it is highly recommended that
you have a good working knowledge of how to build formulas in excel before you come to this class.
By the end of the course, you should be able to perform a thorough, credible investment or credit analysis that meets a high standard. Students should have the ability to estimate fundamental values, and pull apart the information in the financial statements to get relevant information. This course should be of interest to those contemplating careers in investment banking, security analysis, private
equity, hedge funds, and corporate finance.",Radha Radhakrishna,,,11926,,B7009-20242-001,Financial Statement Analy,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B7009-20242-001/,,In-Person,,3,,,20242ACCT7009B001,LECTURE
ACCT B8007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
We will examine the following key topics:
Designing managerial information systems to support an organization’s strategy.
Determining which financial and non-financial metrics are necessary for success in various competitive environments.
Evaluating profitability of products, services, assets, and customers.
The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
The limitations of traditional cost-estimation systems.
Activity-based costing and activity-based management.
Estimating and managing the costs of capacity resources.
Relevant costs and relevant revenues in business decisions.
The information necessary to evaluate long-term business decisions.
The incentives created by various performance-evaluation techniques.",Igor Vaysman,6:00pm,9:15pm,11823,,B8007-20242-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8007-20242-001/,640 GEFFEN HALL,In-Person,,1.5,,FM,20242ACCT8007B001,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value. 
In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Thomas E Bourveau,9:00am,5:00pm,11813,,B8009-20242-001,Financial Statement Analy,Accounting (ACCT),ACCT,,https://doc.sis.columbia.edu/subj/ACCT/B8009-20242-001/,390 GEFFEN HALL,In-Person,,3,,MTWRF,20242ACCT8009B001,LECTURE
ACTU PS5995,Internship In ACTU,"This course requires you to experience firsthand a program-related job in a real working environment. You will engage in personal, environmental and organizational reflection. The ideal Internship will provide you an opportunity to gain tangible and practical knowledge in your chosen field by taking on a position that is closely aligned with your coursework and professional interests. Before registering for this course, you must have completed the Internship Application Form in which you will describe your internship sponsor and provide details about the work that you will be doing. This form must be signed by your internship supervisor and approved by your program director BEFORE you register for this course.
  
 
  
To receive instructor approval, the internship:
  
● Must provide an opportunity for the student to apply course concepts, either at the organizational or team level
  
● Must fit into the planned future program-related career path of the student
  
You must identify your own internship opportunities. The internship must involve a commitment to completing a minimum of 210 hours over the semester.
  
 
  
At the end of your course, you will submit an evaluation form to your internship supervisor. The evaluation form should be returned directly to the instructor",Lina Xu,,,11632,,K5995-20242-001,INTERNSHIP IN ACTUARIAL S,Actuarial Science,ACTU,,https://doc.sis.columbia.edu/subj/ACTU/K5995-20242-001/,,In-Person,,1,,,20242ACTU5995K001,INTERNSHIP
ACTU PS6100,INTEG PROJ IN ACTU SCI,,,,,11633,,K6100-20242-001,INTEGRATED PROJECTS IN ACTU,Actuarial Science,ACTU,,https://doc.sis.columbia.edu/subj/ACTU/K6100-20242-001/,,In-Person,,3,,,20242ACTU6100K001,SEMINAR
ADVR PS0101,Digital Media and Advertising,,Wesley Stroud,3:10pm,5:00pm,12043,,K0101-20242-001,Digital Media and Adverti,Pre-College Programs (SHSP),ADVR,,https://doc.sis.columbia.edu/subj/ADVR/K0101-20242-001/,424 Kent Hall,In-Person,,0,,MTWRF,20242ADVR0101K001,LECTURE
